,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,matchtype,year,not_out
75,2,0,3,0,0,66.66,5,caught,1, West Indies,Kingston,2017-07-09,T20I,2017,0
77,54,0,114,1,0,47.36,5,caught,2,West Indies,North Sound,2017-07-02,ODI ,2017,0
78,78,0,79,4,2,98.73,5,not out,1,West Indies,North Sound,2017-06-30,ODI ,2017,1
79,13,0,13,1,0,100.0,6,not out,1,West Indies,Port of Spain,2017-06-25,ODI ,2017,1
80,9,0,9,1,0,100.0,5,not out,1,West Indies,Port of Spain,2017-06-23,ODI ,2017,1
81,4,23,16,0,0,25.0,5,caught,2,Pakistan,The Oval,2017-06-18,ODI ,2017,0
84,63,78,52,7,2,121.15,5,caught,1,Sri Lanka,The Oval,2017-06-08,ODI ,2017,0
86,56,56,36,5,2,155.55,4,caught,1, England,Bengaluru,2017-02-01,T20I,2017,0
87,5,16,7,0,0,71.42,6,bowled,1, England,Nagpur,2017-01-29,T20I,2017,0
88,36,47,27,3,0,133.33,5,not out,1, England,Kanpur,2017-01-26,T20I,2017,1
89,25,45,36,1,1,69.44,5,caught,2,England,Kolkata,2017-01-22,ODI ,2017,0
90,134,203,122,10,6,109.83,5,caught,1,England,Cuttack,2017-01-19,ODI ,2017,0
91,6,7,6,1,0,100.0,5,caught,2,England,Pune,2017-01-15,ODI ,2017,0
92,41,64,59,4,1,69.49,4,lbw,1,New Zealand,Visakhapatnam,2016-10-29,ODI ,2016,0
93,11,36,31,0,0,35.48,4,bowled,2,New Zealand,Ranchi,2016-10-26,ODI ,2016,0
94,80,122,91,6,3,87.91,4,caught,2,New Zealand,Mohali,2016-10-23,ODI ,2016,0
95,39,95,65,3,0,60.0,5,caught,2,New Zealand,Delhi,2016-10-20,ODI ,2016,0
96,21,41,24,1,1,87.5,5,run out,2,New Zealand,Dharamsala,2016-10-16,ODI ,2016,0
98,43,53,25,2,2,172.0,5,caught,2, West Indies,Lauderhill,2016-08-27,T20I,2016,0
99,9,19,13,1,0,69.23,6,bowled,1, Zimbabwe,Harare,2016-06-22,T20I,2016,0
101,19,0,17,1,0,111.76,6,not out,2, Zimbabwe,Harare,2016-06-18,T20I,2016,1
105,15,24,9,1,0,166.66,4,not out,1, West Indies,Wankhede,2016-03-31,T20I,2016,1
106,18,29,10,3,0,180.0,6,not out,2, Australia,Mohali,2016-03-27,T20I,2016,1
107,13,29,12,1,0,108.33,6,not out,1, Bangladesh,Bengaluru,2016-03-23,T20I,2016,1
108,13,15,9,0,1,144.44,6,not out,2, Pakistan,Kolkata,2016-03-19,T20I,2016,1
109,30,0,30,1,1,100.0,6,caught,2, New Zealand,Nagpur,2016-03-15,T20I,2016,0
110,20,7,6,1,2,333.33,4,not out,2, Bangladesh,Mirpur,2016-03-06,T20I,2016,1
112,7,7,4,0,1,175.0,7,not out,2, Sri Lanka,Mirpur,2016-03-01,T20I,2016,1
113,7,6,3,1,0,233.33,7,not out,2, Pakistan,Mirpur,2016-02-27,T20I,2016,1
114,8,4,2,0,1,400.0,7,not out,1, Bangladesh,Mirpur,2016-02-24,T20I,2016,1
116,9,0,5,1,0,180.0,6,not out,1, Sri Lanka,Ranchi,2016-02-12,T20I,2016,1
117,2,2,2,0,0,100.0,6,caught,1, Sri Lanka,Pune,2016-02-09,T20I,2016,0
119,14,18,9,2,0,155.55,4,caught,1, Australia,Melbourne,2016-01-29,T20I,2016,0
120,11,3,3,1,1,366.66,5,not out,1, Australia,Adelaide,2016-01-26,T20I,2016,1
121,34,64,42,1,1,80.95,5,caught,2,Australia,Sydney,2016-01-23,ODI ,2016,0
122,0,2,3,0,0,0.0,4,caught,2,Australia,Canberra,2016-01-20,ODI ,2016,0
123,23,23,9,2,2,255.55,5,caught,1,Australia,Melbourne,2016-01-17,ODI ,2016,0
124,11,16,10,0,0,110.0,5,caught,1,Australia,Brisbane,2016-01-15,ODI ,2016,0
125,18,18,13,1,1,138.46,4,caught,1,Australia,Perth,2016-01-12,ODI ,2016,0
126,27,50,29,3,0,93.1,6,bowled,2,South Africa,Wankhede,2015-10-25,ODI ,2015,0
127,15,28,16,1,0,93.75,6,caught,1,South Africa,Chennai,2015-10-22,ODI ,2015,0
128,47,85,61,5,0,77.04,4,caught,2,South Africa,Rajkot,2015-10-18,ODI ,2015,0
129,92,144,86,7,4,106.97,5,not out,1,South Africa,Indore,2015-10-14,ODI ,2015,1
130,31,54,30,1,0,103.33,5,caught,2,South Africa,Kanpur,2015-10-11,ODI ,2015,0
131,5,20,8,0,0,62.5,6,caught,1, South Africa,Cuttack,2015-10-05,T20I,2015,0
132,20,22,12,2,1,166.66,5,not out,1, South Africa,Dharamsala,2015-10-02,T20I,2015,1
133,69,112,77,6,1,89.61,4,caught,1,Bangladesh,Mirpur,2015-06-24,ODI ,2015,0
134,47,112,75,3,0,62.66,4,caught,1,Bangladesh,Mirpur,2015-06-21,ODI ,2015,0
135,5,13,7,0,0,71.42,6,caught,2,Bangladesh,Mirpur,2015-06-18,ODI ,2015,0
136,65,94,65,3,2,100.0,6,run out,2,Australia,Sydney,2015-03-26,ODI ,2015,0
137,6,28,11,0,0,54.54,6,caught,1,Bangladesh,Melbourne,2015-03-19,ODI ,2015,0
138,85,113,76,8,2,111.84,6,not out,2,Zimbabwe,Auckland,2015-03-14,ODI ,2015,1
140,45,96,56,3,1,80.35,6,not out,2,West Indies,Perth,2015-03-06,ODI ,2015,1
142,18,22,11,3,0,163.63,6,caught,1,South Africa,Melbourne,2015-02-22,ODI ,2015,0
143,18,22,13,1,1,138.46,5,caught,1,Pakistan,Adelaide,2015-02-15,ODI ,2015,0
144,17,38,32,3,0,53.12,6,lbw,1,England,Perth,2015-01-30,ODI ,2015,0
146,34,70,61,1,0,55.73,6,caught,1,England,Brisbane,2015-01-20,ODI ,2015,0
147,19,42,31,2,0,61.29,6,bowled,1,Australia,Melbourne,2015-01-18,ODI ,2015,0
148,11,28,23,1,0,47.82,7,caught,2, Australia,Melbourne,2014-12-26,Test,2014,0
149,24,68,39,4,0,61.53,7,not out,4, Australia,Melbourne,2014-12-26,Test,2014,1
150,33,96,53,4,0,62.26,7,caught,1, Australia,Brisbane,2014-12-17,Test,2014,0
151,0,4,2,0,0,0.0,7,lbw,3, Australia,Brisbane,2014-12-17,Test,2014,0
152,6,10,5,0,0,120.0,5,run out,1,West Indies,Dharamsala,2014-10-17,ODI ,2014,0
153,51,66,40,5,1,127.5,6,not out,1,West Indies,Delhi,2014-10-11,ODI ,2014,1
154,8,37,21,0,0,38.09,6,bowled,2,West Indies,Kochi,2014-10-08,ODI ,2014,0
155,27,35,18,2,1,150.0,5,not out,2, England,Birmingham,2014-09-07,T20I,2014,1
156,29,63,42,1,1,69.04,6,caught,2,England,Leeds,2014-09-05,ODI ,2014,0
159,52,94,51,6,0,101.96,6,bowled,1,England,Cardiff,2014-08-27,ODI ,2014,0
160,82,212,140,15,1,58.57,6,caught,1, England,The Oval,2014-08-15,Test,2014,0
161,0,6,5,0,0,0.0,6,caught,3, England,The Oval,2014-08-15,Test,2014,0
162,71,200,133,15,0,53.38,6,caught,1, England,Manchester,2014-08-07,Test,2014,0
163,27,44,22,4,0,122.72,6,caught,3, England,Manchester,2014-08-07,Test,2014,0
164,50,168,113,5,1,44.24,7,caught,2, England,Southampton,2014-07-27,Test,2014,0
165,6,16,11,1,0,54.54,7,caught,4, England,Southampton,2014-07-27,Test,2014,0
166,1,23,17,0,0,5.88,6,caught,1, England,Lord's,2014-07-17,Test,2014,0
167,19,124,86,2,0,22.09,6,caught,3, England,Lord's,2014-07-17,Test,2014,0
168,82,267,152,7,0,53.94,6,run out,1, England,Nottingham,2014-07-09,Test,2014,0
